,Sample,LabID,Sample.ID,Genetic.Sex,Individual.ID,Pod,pedPod,Region,MiSeq.run,Population,year,month,day,latitudeN,longitudeW,,dom.sp,prey50,TopRel
306,AmpBias32-B_S38,AmpBias32-B,NA,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
307,AmpBias32-C_S39,AmpBias32-C,NA,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
308,Congrol-1_S37,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
309,Congrol-1-2_S44,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
310,Congrol-1-3_S52,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
311,control2_S35,control2,NA,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
312,Control-2_S38,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
313,control2_S73,control2,NA,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
314,Control-2-2_S45,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
315,Control-2-3_S53,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
316,control3_S36,control3,NA,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
317,Control-3_S39,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
318,control3_S74,control3,NA,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
319,Control-3-2_S46,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
320,Control-3-3_S54,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
321,ControlMix-1_S9,ControlMix-1,NA,NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
322,ControlMix-2_S18,ControlMix-2,NA,NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
323,ControlMix-3_S27,ControlMix-3,NA,NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
324,ControlMix-4_S36,ControlMix-4,NA,NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
325,ControlMix-5_S45,ControlMix-5,NA,NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
326,PreyControlMix-2_S20,PreyControlMix-2,NA,NA,NA,NA,NA,NA,2019,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
327,PreyControlMix-2b_S65,PreyControlMix-2b,NA,NA,NA,NA,NA,NA,2019,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
328,PreyControlMix-3_S32,PreyControlMix-3,NA,NA,NA,NA,NA,NA,2019,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
329,PreyControlMix-3b_S75,PreyControlMix-3b,NA,NA,NA,NA,NA,NA,2019,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
