"","reads.in","reads.out"
"SRR27755090_R1_001.fastq.gz",258741,209801
"SRR27755091_R1_001.fastq.gz",103200,82308
"SRR27755092_R1_001.fastq.gz",252661,193994
"SRR27755093_R1_001.fastq.gz",228580,185471
"SRR27755094_R1_001.fastq.gz",248500,197258
"SRR27755095_R1_001.fastq.gz",219487,159614
"SRR27755096_R1_001.fastq.gz",182076,147465
"SRR27755097_R1_001.fastq.gz",172960,64037
"SRR27755098_R1_001.fastq.gz",381804,224596
"SRR27755099_R1_001.fastq.gz",278980,145544
"SRR27755100_R1_001.fastq.gz",351200,261629
"SRR27755101_R1_001.fastq.gz",246951,179074
"SRR27755102_R1_001.fastq.gz",280719,163753
"SRR27755103_R1_001.fastq.gz",261883,156190
"SRR27755104_R1_001.fastq.gz",282110,180685
"SRR27755105_R1_001.fastq.gz",165814,87335
"SRR27755106_R1_001.fastq.gz",153304,80610
"SRR27755107_R1_001.fastq.gz",447870,223292
"SRR27755108_R1_001.fastq.gz",195852,111247
"SRR27755109_R1_001.fastq.gz",7431,6850
"SRR27755110_R1_001.fastq.gz",295926,214145
"SRR27755111_R1_001.fastq.gz",268845,188899
"SRR27755112_R1_001.fastq.gz",235474,157517
"SRR27755125_R1_001.fastq.gz",131909,97263
"SRR27755130_R1_001.fastq.gz",205703,192773
"SRR27755145_R1_001.fastq.gz",245297,219723
"SRR27755146_R1_001.fastq.gz",242090,226984
"SRR27755147_R1_001.fastq.gz",308887,281377
"SRR27755148_R1_001.fastq.gz",495766,342756
"SRR27755149_R1_001.fastq.gz",318984,293484
"SRR27755150_R1_001.fastq.gz",6555,6142
"SRR27755151_R1_001.fastq.gz",277733,258045
"SRR27755152_R1_001.fastq.gz",228804,208548
"SRR27755153_R1_001.fastq.gz",2067,1876
"SRR27755154_R1_001.fastq.gz",312953,286699
"SRR27755155_R1_001.fastq.gz",323161,301251
"SRR27755156_R1_001.fastq.gz",337725,315160
"SRR27755157_R1_001.fastq.gz",46920,30759
"SRR27755158_R1_001.fastq.gz",256087,229006
"SRR27755159_R1_001.fastq.gz",180582,118882
"SRR27755160_R1_001.fastq.gz",278309,205539
"SRR27755161_R1_001.fastq.gz",382219,293718
"SRR27755162_R1_001.fastq.gz",477286,358787
"SRR27755163_R1_001.fastq.gz",424141,284783
"SRR27755164_R1_001.fastq.gz",323694,201896
"SRR27755165_R1_001.fastq.gz",522036,387888
"SRR27755166_R1_001.fastq.gz",343284,265023
"SRR27755167_R1_001.fastq.gz",225015,162738
"SRR27755168_R1_001.fastq.gz",396394,295462
"SRR27755169_R1_001.fastq.gz",290794,257570
"SRR27755170_R1_001.fastq.gz",464842,352430
"SRR27755171_R1_001.fastq.gz",404475,306816
"SRR27755172_R1_001.fastq.gz",565314,414402
"SRR27755173_R1_001.fastq.gz",492792,376314
"SRR27755174_R1_001.fastq.gz",271946,214575
"SRR27755175_R1_001.fastq.gz",160143,124329
"SRR27755180_R1_001.fastq.gz",284423,182659
"SRR27755190_R1_001.fastq.gz",6933,6468
"SRR27755196_R1_001.fastq.gz",336973,214110
"SRR27755213_R1_001.fastq.gz",240494,216206
"SRR27755230_R1_001.fastq.gz",240944,225802
"SRR27755242_R1_001.fastq.gz",348798,278229
"SRR27755243_R1_001.fastq.gz",252536,200325
"SRR27755244_R1_001.fastq.gz",276872,249807
"SRR27755245_R1_001.fastq.gz",236982,186089
"SRR27755246_R1_001.fastq.gz",235821,182592
"SRR27755247_R1_001.fastq.gz",439902,316326
"SRR27755249_R1_001.fastq.gz",329532,265455
"SRR27755250_R1_001.fastq.gz",216055,192957
"SRR27755251_R1_001.fastq.gz",1226,1146
